查询日期,Excel代码,匹配Wind代码,证券简称,基本信息查询状态,行情查询状态,缺失指标,缺失字段代码,冲突或校验信息,记录状态,原因,来源会话,原始请求ID
2026-09-11,809276.IB,809276.IB,25天津68,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809273.IB,809273.IB,25北京76,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809272.IB,809272.IB,25北京75,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809270.IB,809270.IB,25江苏43,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809263.IB,809263.IB,25安徽63,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809262.IB,809262.IB,25安徽62,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809246.IB,809246.IB,25北京48,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809245.IB,809245.IB,25北京47,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809244.IB,809244.IB,25北京46,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809243.IB,809243.IB,25北京45,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809242.IB,809242.IB,25黑龙江13,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809241.IB,809241.IB,25黑龙江12,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809239.IB,809239.IB,25四川26,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
