code,name,cohort,disposition,_diagnosticBucket,staticSyncStatus,regionId,bondType,issueDate,remainingYears,issueAmountYi,yieldPct,maturityDate,termYears,yieldDate,reason
199583.IB,26重庆债20,on_or_after_20250808,eligible,eligible,completed,chongqing,special,2026-04-02,9.567123287671232876712328767,201.6,1.7666,2036-04-03,10,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199603.IB,26福建债09,on_or_after_20250808,eligible,eligible,completed,fujian,special,2026-04-22,4.616438356164383561643835616,62.7995,1.4900,2031-04-23,5,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199612.IB,26安徽债32,on_or_after_20250808,eligible,eligible,completed,anhui,special,2026-04-28,19.64383561643835616438356164,77.66,2.2475,2046-04-29,20,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199617.IB,26江苏债17,on_or_after_20250808,eligible,eligible,completed,jiangsu,general,2026-04-23,6.621917808219178082191780822,123.42,1.5779,2033-04-24,7,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199619.IB,26江苏债19,on_or_after_20250808,eligible,eligible,completed,jiangsu,special,2026-04-23,14.62739726027397260273972603,95.36,2.0300,2041-04-24,15,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199620.IB,26江苏债20,on_or_after_20250808,eligible,eligible,completed,jiangsu,special,2026-04-23,19.63013698630136986301369863,220.41,2.2350,2046-04-24,20,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199626.IB,26河南债30,on_or_after_20250808,eligible,eligible,completed,henan,special,2026-05-14,29.69589041095890410958904110,112.71,2.2800,2056-05-15,30,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199628.IB,26广东债29,on_or_after_20250808,eligible,eligible,completed,guangdong,special,2026-05-26,6.712328767123287671232876712,174.5,1.6010,2033-05-27,7,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199629.IB,26广东债30,on_or_after_20250808,eligible,eligible,completed,guangdong,general,2026-05-26,9.715068493150684931506849315,64,1.7530,2036-05-27,10,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199636.IB,26河北债30,on_or_after_20250808,eligible,eligible,completed,hebei,special,2026-05-28,19.72602739726027397260273973,51.31,2.2450,2046-05-29,20,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199642.IB,26广东债35,on_or_after_20250808,eligible,eligible,completed,guangdong,special,2026-06-12,29.78082191780821917808219178,128.9,2.2775,2056-06-15,30,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199660.IB,26河南债59,on_or_after_20250808,eligible,eligible,completed,henan,special,2026-08-11,9.926027397260273972602739726,193.67,1.7665,2036-08-12,10,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
096001.IB,09河南债01,before_20250808,incomplete,missing_required_static,failed,henan,,2009-04-03,,,,,,,基本信息同步失败，仍保留名单身份
101900.IB,23浙江01,before_20250808,incomplete,only_missing_target_day_yield,completed,zhejiang,special,2023-02-10,3.427397260273972602739726027,13.2,,2030-02-13,3,,仅有指数收益率参考，不参与个券收益率汇总
101901.IB,23浙江02,before_20250808,incomplete,outside_term_grid,completed,zhejiang,special,2023-02-10,11.43287671232876712328767123,15,,2038-02-13,11,,仅有指数收益率参考，不参与个券收益率汇总
101902.IB,23浙江03,before_20250808,incomplete,outside_term_grid,completed,zhejiang,special,2023-02-10,16.43561643835616438356164384,12.51,,2043-02-13,16,,仅有指数收益率参考，不参与个券收益率汇总
101903.IB,23浙江04,before_20250808,incomplete,outside_term_grid,completed,zhejiang,special,2023-02-10,1.424657534246575342465753425,4.46,,2028-02-13,1,,仅有指数收益率参考，不参与个券收益率汇总
101904.IB,23浙江05,before_20250808,incomplete,only_missing_target_day_yield,completed,zhejiang,special,2023-02-10,3.427397260273972602739726027,8.91,,2030-02-13,3,,仅有指数收益率参考，不参与个券收益率汇总
101905.IB,23浙江06,before_20250808,incomplete,outside_term_grid,completed,zhejiang,special,2023-02-10,6.430136986301369863013698630,21.06,,2033-02-13,6,,仅有指数收益率参考，不参与个券收益率汇总
101906.IB,23浙江07,before_20250808,incomplete,outside_term_grid,completed,zhejiang,special,2023-02-10,11.43287671232876712328767123,41.13,,2038-02-13,11,,仅有指数收益率参考，不参与个券收益率汇总
101907.IB,23浙江08,before_20250808,incomplete,outside_term_grid,completed,zhejiang,special,2023-02-10,16.43561643835616438356164384,147.61,,2043-02-13,16,,仅有指数收益率参考，不参与个券收益率汇总
101908.IB,23厦门02,before_20250808,incomplete,outside_term_grid,completed,xiamen,special,2023-02-17,11.45205479452054794520547945,122.4,,2038-02-20,11,,仅有指数收益率参考，不参与个券收益率汇总
101909.IB,23厦门03,before_20250808,incomplete,outside_term_grid,completed,xiamen,special,2023-02-17,26.46301369863013698630136986,3,,2053-02-20,26,,仅有指数收益率参考，不参与个券收益率汇总
101910.IB,23厦门04,before_20250808,incomplete,outside_term_grid,completed,xiamen,special,2023-02-17,6.449315068493150684931506849,2,,2033-02-20,6,,仅有指数收益率参考，不参与个券收益率汇总
101911.IB,23厦门05,before_20250808,incomplete,outside_term_grid,completed,xiamen,special,2023-02-17,26.46301369863013698630136986,8,,2053-02-20,26,,仅有指数收益率参考，不参与个券收益率汇总
101912.IB,23厦门06,before_20250808,incomplete,outside_term_grid,completed,xiamen,special,2023-02-17,6.449315068493150684931506849,10,,2033-02-20,6,,仅有指数收益率参考，不参与个券收益率汇总
101913.IB,23厦门07,before_20250808,incomplete,outside_term_grid,completed,xiamen,special,2023-02-17,6.449315068493150684931506849,4.6,,2033-02-20,6,,仅有指数收益率参考，不参与个券收益率汇总
101914.IB,23厦门08,before_20250808,incomplete,outside_term_grid,completed,xiamen,special,2023-02-17,11.45205479452054794520547945,1.1,,2038-02-20,11,,仅有指数收益率参考，不参与个券收益率汇总
101915.IB,23厦门09,before_20250808,incomplete,outside_term_grid,completed,xiamen,special,2023-02-17,11.45205479452054794520547945,0.4,,2038-02-20,11,,仅有指数收益率参考，不参与个券收益率汇总
101916.IB,23厦门10,before_20250808,incomplete,outside_term_grid,completed,xiamen,special,2023-02-17,11.45205479452054794520547945,2,,2038-02-20,11,,仅有指数收益率参考，不参与个券收益率汇总
101917.IB,23厦门11,before_20250808,incomplete,outside_term_grid,completed,xiamen,special,2023-02-17,11.45205479452054794520547945,2,,2038-02-20,11,,仅有指数收益率参考，不参与个券收益率汇总
101918.IB,23厦门12,before_20250808,incomplete,outside_term_grid,completed,xiamen,special,2023-02-17,16.45479452054794520547945205,3.5,,2043-02-20,16,,仅有指数收益率参考，不参与个券收益率汇总
101919.IB,23宁波01,before_20250808,incomplete,only_missing_target_day_yield,completed,ningbo,general,2023-02-20,3.449315068493150684931506849,7,,2030-02-21,3,,仅有指数收益率参考，不参与个券收益率汇总
101920.IB,23宁波02,before_20250808,incomplete,outside_term_grid,completed,ningbo,special,2023-02-20,11.45479452054794520547945205,15,,2038-02-21,11,,仅有指数收益率参考，不参与个券收益率汇总
101921.IB,23宁波03,before_20250808,incomplete,outside_term_grid,completed,ningbo,special,2023-02-20,6.452054794520547945205479452,2.3,,2033-02-21,6,,仅有指数收益率参考，不参与个券收益率汇总
101922.IB,23宁波04,before_20250808,incomplete,outside_term_grid,completed,ningbo,special,2023-02-20,6.452054794520547945205479452,0.8,,2033-02-21,6,,仅有指数收益率参考，不参与个券收益率汇总
101923.IB,23宁波05,before_20250808,incomplete,outside_term_grid,completed,ningbo,special,2023-02-20,6.452054794520547945205479452,0.4,,2033-02-21,6,,仅有指数收益率参考，不参与个券收益率汇总
101924.IB,23宁波06,before_20250808,incomplete,outside_term_grid,completed,ningbo,special,2023-02-20,11.45479452054794520547945205,1.55,,2038-02-21,11,,仅有指数收益率参考，不参与个券收益率汇总
101925.IB,23宁波07,before_20250808,incomplete,outside_term_grid,completed,ningbo,special,2023-02-20,16.45753424657534246575342466,21.82,,2043-02-21,16,,仅有指数收益率参考，不参与个券收益率汇总
101926.IB,23宁波08,before_20250808,incomplete,outside_term_grid,completed,ningbo,special,2023-02-20,26.46575342465753424657534247,61.13,,2053-02-21,26,,仅有指数收益率参考，不参与个券收益率汇总
101927.IB,23安徽07,before_20250808,incomplete,outside_term_grid,completed,anhui,special,2023-02-22,1.452054794520547945205479452,10.8,,2028-02-23,1,,仅有指数收益率参考，不参与个券收益率汇总
101928.IB,23安徽08,before_20250808,incomplete,only_missing_target_day_yield,completed,anhui,special,2023-02-22,3.454794520547945205479452055,2.29,,2030-02-23,3,,仅有指数收益率参考，不参与个券收益率汇总
101929.IB,23安徽09,before_20250808,incomplete,only_missing_target_day_yield,completed,anhui,special,2023-02-22,3.454794520547945205479452055,20.5,,2030-02-23,3,,仅有指数收益率参考，不参与个券收益率汇总
101930.IB,23安徽10,before_20250808,incomplete,outside_term_grid,completed,anhui,special,2023-02-22,6.457534246575342465753424658,33.92,,2033-02-23,6,,仅有指数收益率参考，不参与个券收益率汇总
