code,name,cohort,disposition,_diagnosticBucket,staticSyncStatus,regionId,bondType,issueDate,remainingYears,issueAmountYi,yieldPct,maturityDate,termYears,yieldDate,reason
2005010.IB,20河南债10,before_20250808,incomplete,missing_required_static,pending,henan,,2020-01-02,,,,,,,已取得地方政府债名单，基本信息等待同步
2005011.IB,20河南债11,before_20250808,incomplete,missing_required_static,pending,henan,,2020-01-02,,,,,,,已取得地方政府债名单，基本信息等待同步
2005012.IB,20河南债12,before_20250808,incomplete,missing_required_static,pending,henan,,2020-01-02,,,,,,,已取得地方政府债名单，基本信息等待同步
2005013.IB,20广西债01,before_20250808,incomplete,missing_required_static,pending,guangxi,,2020-01-09,,,,,,,已取得地方政府债名单，基本信息等待同步
2005014.IB,20广西债02,before_20250808,incomplete,missing_required_static,pending,guangxi,,2020-01-09,,,,,,,已取得地方政府债名单，基本信息等待同步
2005015.IB,20广西债03,before_20250808,incomplete,missing_required_static,pending,guangxi,,2020-01-09,,,,,,,已取得地方政府债名单，基本信息等待同步
2005016.IB,20河北债01,before_20250808,incomplete,missing_required_static,pending,hebei,,2020-01-09,,,,,,,已取得地方政府债名单，基本信息等待同步
2005017.IB,20河北债02,before_20250808,incomplete,missing_required_static,pending,hebei,,2020-01-09,,,,,,,已取得地方政府债名单，基本信息等待同步
2005018.IB,20河北债03,before_20250808,incomplete,missing_required_static,pending,hebei,,2020-01-09,,,,,,,已取得地方政府债名单，基本信息等待同步
2005019.IB,20河北债04,before_20250808,incomplete,missing_required_static,pending,hebei,,2020-01-09,,,,,,,已取得地方政府债名单，基本信息等待同步
2005020.IB,20河北债05,before_20250808,incomplete,missing_required_static,pending,hebei,,2020-01-09,,,,,,,已取得地方政府债名单，基本信息等待同步
2005021.IB,20河北债06,before_20250808,incomplete,missing_required_static,pending,hebei,,2020-01-09,,,,,,,已取得地方政府债名单，基本信息等待同步
2005022.IB,20河北债07,before_20250808,incomplete,missing_required_static,pending,hebei,,2020-01-09,,,,,,,已取得地方政府债名单，基本信息等待同步
2005023.IB,20浙江债01,before_20250808,incomplete,missing_required_static,pending,zhejiang,,2020-01-17,,,,,,,已取得地方政府债名单，基本信息等待同步
2005024.IB,20浙江债02,before_20250808,incomplete,missing_required_static,pending,zhejiang,,2020-01-17,,,,,,,已取得地方政府债名单，基本信息等待同步
2005025.IB,20浙江债03,before_20250808,incomplete,missing_required_static,pending,zhejiang,,2020-01-17,,,,,,,已取得地方政府债名单，基本信息等待同步
2005026.IB,20浙江债04,before_20250808,incomplete,missing_required_static,pending,zhejiang,,2020-01-17,,,,,,,已取得地方政府债名单，基本信息等待同步
2005027.IB,20浙江债05,before_20250808,incomplete,missing_required_static,pending,zhejiang,,2020-01-17,,,,,,,已取得地方政府债名单，基本信息等待同步
2005028.IB,20浙江债06,before_20250808,incomplete,missing_required_static,pending,zhejiang,,2020-01-17,,,,,,,已取得地方政府债名单，基本信息等待同步
2005029.IB,20浙江债07,before_20250808,incomplete,missing_required_static,pending,zhejiang,,2020-01-17,,,,,,,已取得地方政府债名单，基本信息等待同步
2005030.IB,20广西债04,before_20250808,incomplete,missing_required_static,pending,guangxi,,2020-01-09,,,,,,,已取得地方政府债名单，基本信息等待同步
2005031.IB,20福建债01,before_20250808,incomplete,missing_required_static,pending,fujian,,2020-01-16,,,,,,,已取得地方政府债名单，基本信息等待同步
2005032.IB,20福建债02,before_20250808,incomplete,missing_required_static,pending,fujian,,2020-01-16,,,,,,,已取得地方政府债名单，基本信息等待同步
2005033.IB,20福建债03,before_20250808,incomplete,missing_required_static,pending,fujian,,2020-01-16,,,,,,,已取得地方政府债名单，基本信息等待同步
2005034.IB,20福建债04,before_20250808,incomplete,missing_required_static,pending,fujian,,2020-01-16,,,,,,,已取得地方政府债名单，基本信息等待同步
2005035.IB,20福建债05,before_20250808,incomplete,missing_required_static,pending,fujian,,2020-01-16,,,,,,,已取得地方政府债名单，基本信息等待同步
2005036.IB,20福建债06,before_20250808,incomplete,missing_required_static,pending,fujian,,2020-01-16,,,,,,,已取得地方政府债名单，基本信息等待同步
2005037.IB,20福建债07,before_20250808,incomplete,missing_required_static,pending,fujian,,2020-01-16,,,,,,,已取得地方政府债名单，基本信息等待同步
2005038.IB,20福建债08,before_20250808,incomplete,missing_required_static,pending,fujian,,2020-01-16,,,,,,,已取得地方政府债名单，基本信息等待同步
2005039.IB,20福建债09,before_20250808,incomplete,missing_required_static,pending,fujian,,2020-01-16,,,,,,,已取得地方政府债名单，基本信息等待同步
2005040.IB,20福建债10,before_20250808,incomplete,missing_required_static,pending,fujian,,2020-01-16,,,,,,,已取得地方政府债名单，基本信息等待同步
2005041.IB,20福建债11,before_20250808,incomplete,missing_required_static,pending,fujian,,2020-01-16,,,,,,,已取得地方政府债名单，基本信息等待同步
2005042.IB,20福建债12,before_20250808,incomplete,missing_required_static,pending,fujian,,2020-01-16,,,,,,,已取得地方政府债名单，基本信息等待同步
2005043.IB,20福建债13,before_20250808,incomplete,missing_required_static,pending,fujian,,2020-01-16,,,,,,,已取得地方政府债名单，基本信息等待同步
2005044.IB,20福建债14,before_20250808,incomplete,missing_required_static,pending,fujian,,2020-01-16,,,,,,,已取得地方政府债名单，基本信息等待同步
2005045.IB,20福建债15,before_20250808,incomplete,missing_required_static,pending,fujian,,2020-01-16,,,,,,,已取得地方政府债名单，基本信息等待同步
2005046.IB,20福建债16,before_20250808,incomplete,missing_required_static,pending,fujian,,2020-01-16,,,,,,,已取得地方政府债名单，基本信息等待同步
2005047.IB,20福建债17,before_20250808,incomplete,missing_required_static,pending,fujian,,2020-01-16,,,,,,,已取得地方政府债名单，基本信息等待同步
2005048.IB,20湖北债01,before_20250808,incomplete,missing_required_static,pending,hubei,,2020-01-20,,,,,,,已取得地方政府债名单，基本信息等待同步
2005049.IB,20湖北债02,before_20250808,incomplete,missing_required_static,pending,hubei,,2020-01-20,,,,,,,已取得地方政府债名单，基本信息等待同步
2005050.IB,20湖北债03,before_20250808,incomplete,missing_required_static,pending,hubei,,2020-01-20,,,,,,,已取得地方政府债名单，基本信息等待同步
2005051.IB,20湖北债04,before_20250808,incomplete,missing_required_static,pending,hubei,,2020-01-20,,,,,,,已取得地方政府债名单，基本信息等待同步
2005052.IB,20湖北债05,before_20250808,incomplete,missing_required_static,pending,hubei,,2020-01-20,,,,,,,已取得地方政府债名单，基本信息等待同步
2005053.IB,20陕西债01,before_20250808,incomplete,missing_required_static,pending,shaanxi,,2020-01-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005054.IB,20陕西债02,before_20250808,incomplete,missing_required_static,pending,shaanxi,,2020-01-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005055.IB,20陕西债03,before_20250808,incomplete,missing_required_static,pending,shaanxi,,2020-01-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005056.IB,20陕西债04,before_20250808,incomplete,missing_required_static,pending,shaanxi,,2020-01-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005057.IB,20黑龙江债01,before_20250808,incomplete,missing_required_static,pending,heilongjiang,,2020-01-20,,,,,,,已取得地方政府债名单，基本信息等待同步
2005058.IB,20黑龙江债02,before_20250808,incomplete,missing_required_static,pending,heilongjiang,,2020-01-20,,,,,,,已取得地方政府债名单，基本信息等待同步
2005059.IB,20黑龙江债03,before_20250808,incomplete,missing_required_static,pending,heilongjiang,,2020-01-20,,,,,,,已取得地方政府债名单，基本信息等待同步
2005060.IB,20黑龙江债04,before_20250808,incomplete,missing_required_static,pending,heilongjiang,,2020-01-20,,,,,,,已取得地方政府债名单，基本信息等待同步
2005061.IB,20海南债01,before_20250808,incomplete,missing_required_static,pending,hainan,,2020-02-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005062.IB,20海南债02,before_20250808,incomplete,missing_required_static,pending,hainan,,2020-02-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005063.IB,20海南债03,before_20250808,incomplete,missing_required_static,pending,hainan,,2020-02-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005064.IB,20海南债04,before_20250808,incomplete,missing_required_static,pending,hainan,,2020-02-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005065.IB,20海南债05,before_20250808,incomplete,missing_required_static,pending,hainan,,2020-02-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005066.IB,20海南债06,before_20250808,incomplete,missing_required_static,pending,hainan,,2020-02-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005067.IB,20吉林债01,before_20250808,incomplete,missing_required_static,pending,jilin,,2020-01-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005068.IB,20吉林债02,before_20250808,incomplete,missing_required_static,pending,jilin,,2020-01-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005069.IB,20吉林债03,before_20250808,incomplete,missing_required_static,pending,jilin,,2020-01-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005070.IB,20吉林债04,before_20250808,incomplete,missing_required_static,pending,jilin,,2020-01-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005071.IB,20内蒙古债01,before_20250808,incomplete,missing_required_static,pending,inner_mongolia,,2020-02-28,,,,,,,已取得地方政府债名单，基本信息等待同步
2005072.IB,20内蒙古债02,before_20250808,incomplete,missing_required_static,pending,inner_mongolia,,2020-02-28,,,,,,,已取得地方政府债名单，基本信息等待同步
2005073.IB,20内蒙古债03,before_20250808,incomplete,missing_required_static,pending,inner_mongolia,,2020-02-28,,,,,,,已取得地方政府债名单，基本信息等待同步
2005074.IB,20内蒙古债04,before_20250808,incomplete,missing_required_static,pending,inner_mongolia,,2020-02-28,,,,,,,已取得地方政府债名单，基本信息等待同步
2005075.IB,20内蒙古债05,before_20250808,incomplete,missing_required_static,pending,inner_mongolia,,2020-02-28,,,,,,,已取得地方政府债名单，基本信息等待同步
2005076.IB,20北京债01,before_20250808,incomplete,missing_required_static,pending,beijing,,2020-02-10,,,,,,,已取得地方政府债名单，基本信息等待同步
2005077.IB,20北京债02,before_20250808,incomplete,missing_required_static,pending,beijing,,2020-02-10,,,,,,,已取得地方政府债名单，基本信息等待同步
2005078.IB,20北京债03,before_20250808,incomplete,missing_required_static,pending,beijing,,2020-02-10,,,,,,,已取得地方政府债名单，基本信息等待同步
2005079.IB,20北京债04,before_20250808,incomplete,missing_required_static,pending,beijing,,2020-02-10,,,,,,,已取得地方政府债名单，基本信息等待同步
2005080.IB,20北京债05,before_20250808,incomplete,missing_required_static,pending,beijing,,2020-02-10,,,,,,,已取得地方政府债名单，基本信息等待同步
2005081.IB,20北京债06,before_20250808,incomplete,missing_required_static,pending,beijing,,2020-02-10,,,,,,,已取得地方政府债名单，基本信息等待同步
2005082.IB,20北京债07,before_20250808,incomplete,missing_required_static,pending,beijing,,2020-02-10,,,,,,,已取得地方政府债名单，基本信息等待同步
2005083.IB,20北京债08,before_20250808,incomplete,missing_required_static,pending,beijing,,2020-02-10,,,,,,,已取得地方政府债名单，基本信息等待同步
2005084.IB,20北京债09,before_20250808,incomplete,missing_required_static,pending,beijing,,2020-02-10,,,,,,,已取得地方政府债名单，基本信息等待同步
2005085.IB,20北京债10,before_20250808,incomplete,missing_required_static,pending,beijing,,2020-02-10,,,,,,,已取得地方政府债名单，基本信息等待同步
2005086.IB,20北京债11,before_20250808,incomplete,missing_required_static,pending,beijing,,2020-02-10,,,,,,,已取得地方政府债名单，基本信息等待同步
2005087.IB,20湖北债06,before_20250808,incomplete,missing_required_static,pending,hubei,,2020-02-20,,,,,,,已取得地方政府债名单，基本信息等待同步
2005088.IB,20广东债31,before_20250808,incomplete,missing_required_static,pending,guangdong,,2020-02-18,,,,,,,已取得地方政府债名单，基本信息等待同步
2005089.IB,20新疆债07,before_20250808,incomplete,missing_required_static,pending,xinjiang,,2020-02-26,,,,,,,已取得地方政府债名单，基本信息等待同步
2005090.IB,20湖北债07,before_20250808,incomplete,missing_required_static,pending,hubei,,2020-02-20,,,,,,,已取得地方政府债名单，基本信息等待同步
2005091.IB,20湖北债08,before_20250808,incomplete,missing_required_static,pending,hubei,,2020-02-20,,,,,,,已取得地方政府债名单，基本信息等待同步
2005092.IB,20湖北债09,before_20250808,incomplete,missing_required_static,pending,hubei,,2020-02-20,,,,,,,已取得地方政府债名单，基本信息等待同步
2005093.IB,20湖北债10,before_20250808,incomplete,missing_required_static,pending,hubei,,2020-02-20,,,,,,,已取得地方政府债名单，基本信息等待同步
2005094.IB,20湖北债11,before_20250808,incomplete,missing_required_static,pending,hubei,,2020-02-20,,,,,,,已取得地方政府债名单，基本信息等待同步
2005095.IB,20山西债06,before_20250808,incomplete,missing_required_static,pending,shanxi,,2020-02-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005096.IB,20山西债07,before_20250808,incomplete,missing_required_static,pending,shanxi,,2020-02-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005097.IB,20山西债08,before_20250808,incomplete,missing_required_static,pending,shanxi,,2020-02-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005098.IB,20江西债11,before_20250808,incomplete,missing_required_static,pending,jiangxi,,2020-02-24,,,,,,,已取得地方政府债名单，基本信息等待同步
2005099.IB,20青岛债08,before_20250808,incomplete,missing_required_static,pending,qingdao,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005100.IB,20青岛债09,before_20250808,incomplete,missing_required_static,pending,qingdao,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005101.IB,20青岛债10,before_20250808,incomplete,missing_required_static,pending,qingdao,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005102.IB,20辽宁债08,before_20250808,incomplete,missing_required_static,pending,liaoning,,2020-03-16,,,,,,,已取得地方政府债名单，基本信息等待同步
2005103.IB,20山东债15,before_20250808,incomplete,missing_required_static,pending,shandong,,2020-02-24,,,,,,,已取得地方政府债名单，基本信息等待同步
2005104.IB,20山东债16,before_20250808,incomplete,missing_required_static,pending,shandong,,2020-02-24,,,,,,,已取得地方政府债名单，基本信息等待同步
2005105.IB,20山东债17,before_20250808,incomplete,missing_required_static,pending,shandong,,2020-02-24,,,,,,,已取得地方政府债名单，基本信息等待同步
2005106.IB,20山东债18,before_20250808,incomplete,missing_required_static,pending,shandong,,2020-02-24,,,,,,,已取得地方政府债名单，基本信息等待同步
2005107.IB,20山东债19,before_20250808,incomplete,missing_required_static,pending,shandong,,2020-02-24,,,,,,,已取得地方政府债名单，基本信息等待同步
2005108.IB,20山东债20,before_20250808,incomplete,missing_required_static,pending,shandong,,2020-02-24,,,,,,,已取得地方政府债名单，基本信息等待同步
2005109.IB,20天津债16,before_20250808,incomplete,missing_required_static,pending,tianjin,,2020-02-25,,,,,,,已取得地方政府债名单，基本信息等待同步
2005110.IB,20天津债17,before_20250808,incomplete,missing_required_static,pending,tianjin,,2020-02-25,,,,,,,已取得地方政府债名单，基本信息等待同步
2005111.IB,20天津债18,before_20250808,incomplete,missing_required_static,pending,tianjin,,2020-02-25,,,,,,,已取得地方政府债名单，基本信息等待同步
2005112.IB,20天津债19,before_20250808,incomplete,missing_required_static,pending,tianjin,,2020-02-25,,,,,,,已取得地方政府债名单，基本信息等待同步
2005113.IB,20天津债20,before_20250808,incomplete,missing_required_static,pending,tianjin,,2020-02-25,,,,,,,已取得地方政府债名单，基本信息等待同步
2005114.IB,20天津债21,before_20250808,incomplete,missing_required_static,pending,tianjin,,2020-02-25,,,,,,,已取得地方政府债名单，基本信息等待同步
2005115.IB,20天津债22,before_20250808,incomplete,missing_required_static,pending,tianjin,,2020-02-25,,,,,,,已取得地方政府债名单，基本信息等待同步
2005116.IB,20天津债23,before_20250808,incomplete,missing_required_static,pending,tianjin,,2020-02-25,,,,,,,已取得地方政府债名单，基本信息等待同步
2005117.IB,20天津债24,before_20250808,incomplete,missing_required_static,pending,tianjin,,2020-02-25,,,,,,,已取得地方政府债名单，基本信息等待同步
2005118.IB,20天津债25,before_20250808,incomplete,missing_required_static,pending,tianjin,,2020-02-25,,,,,,,已取得地方政府债名单，基本信息等待同步
2005119.IB,20天津债26,before_20250808,incomplete,missing_required_static,pending,tianjin,,2020-02-25,,,,,,,已取得地方政府债名单，基本信息等待同步
2005120.IB,20天津债27,before_20250808,incomplete,missing_required_static,pending,tianjin,,2020-02-25,,,,,,,已取得地方政府债名单，基本信息等待同步
2005121.IB,20天津债28,before_20250808,incomplete,missing_required_static,pending,tianjin,,2020-02-25,,,,,,,已取得地方政府债名单，基本信息等待同步
2005122.IB,20天津债29,before_20250808,incomplete,missing_required_static,pending,tianjin,,2020-02-25,,,,,,,已取得地方政府债名单，基本信息等待同步
2005123.IB,20天津债30,before_20250808,incomplete,missing_required_static,pending,tianjin,,2020-02-25,,,,,,,已取得地方政府债名单，基本信息等待同步
2005124.IB,20贵州债06,before_20250808,incomplete,missing_required_static,pending,guizhou,,2020-02-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005125.IB,20贵州债07,before_20250808,incomplete,missing_required_static,pending,guizhou,,2020-02-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005126.IB,20贵州债08,before_20250808,incomplete,missing_required_static,pending,guizhou,,2020-02-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005127.IB,20贵州债09,before_20250808,incomplete,missing_required_static,pending,guizhou,,2020-02-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005128.IB,20湖南债13,before_20250808,incomplete,missing_required_static,pending,hunan,,2020-02-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005129.IB,20湖南债14,before_20250808,incomplete,missing_required_static,pending,hunan,,2020-02-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005130.IB,20湖南债15,before_20250808,incomplete,missing_required_static,pending,hunan,,2020-02-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005131.IB,20湖南债16,before_20250808,incomplete,missing_required_static,pending,hunan,,2020-02-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005132.IB,20湖南债17,before_20250808,incomplete,missing_required_static,pending,hunan,,2020-02-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005133.IB,20湖南债18,before_20250808,incomplete,missing_required_static,pending,hunan,,2020-02-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005134.IB,20湖南债19,before_20250808,incomplete,missing_required_static,pending,hunan,,2020-02-21,,,,,,,已取得地方政府债名单，基本信息等待同步
2005135.IB,20青海债01,before_20250808,incomplete,missing_required_static,pending,qinghai,,2020-02-25,,,,,,,已取得地方政府债名单，基本信息等待同步
2005136.IB,20青海债02,before_20250808,incomplete,missing_required_static,pending,qinghai,,2020-02-25,,,,,,,已取得地方政府债名单，基本信息等待同步
2005137.IB,20青海债03,before_20250808,incomplete,missing_required_static,pending,qinghai,,2020-02-25,,,,,,,已取得地方政府债名单，基本信息等待同步
2005138.IB,20青海债04,before_20250808,incomplete,missing_required_static,pending,qinghai,,2020-02-25,,,,,,,已取得地方政府债名单，基本信息等待同步
2005139.IB,20青海债05,before_20250808,incomplete,missing_required_static,pending,qinghai,,2020-02-25,,,,,,,已取得地方政府债名单，基本信息等待同步
2005140.IB,20青海债06,before_20250808,incomplete,missing_required_static,pending,qinghai,,2020-02-25,,,,,,,已取得地方政府债名单，基本信息等待同步
2005141.IB,20青海债07,before_20250808,incomplete,missing_required_static,pending,qinghai,,2020-02-25,,,,,,,已取得地方政府债名单，基本信息等待同步
2005142.IB,20内蒙古债06,before_20250808,incomplete,missing_required_static,pending,inner_mongolia,,2020-02-28,,,,,,,已取得地方政府债名单，基本信息等待同步
2005143.IB,20陕西债05,before_20250808,incomplete,missing_required_static,pending,shaanxi,,2020-02-26,,,,,,,已取得地方政府债名单，基本信息等待同步
2005144.IB,20陕西债06,before_20250808,incomplete,missing_required_static,pending,shaanxi,,2020-02-26,,,,,,,已取得地方政府债名单，基本信息等待同步
2005145.IB,20陕西债07,before_20250808,incomplete,missing_required_static,pending,shaanxi,,2020-02-26,,,,,,,已取得地方政府债名单，基本信息等待同步
2005146.IB,20陕西债08,before_20250808,incomplete,missing_required_static,pending,shaanxi,,2020-02-26,,,,,,,已取得地方政府债名单，基本信息等待同步
2005147.IB,20陕西债09,before_20250808,incomplete,missing_required_static,pending,shaanxi,,2020-02-26,,,,,,,已取得地方政府债名单，基本信息等待同步
2005148.IB,20陕西债10,before_20250808,incomplete,missing_required_static,pending,shaanxi,,2020-02-26,,,,,,,已取得地方政府债名单，基本信息等待同步
2005149.IB,20陕西债11,before_20250808,incomplete,missing_required_static,pending,shaanxi,,2020-02-26,,,,,,,已取得地方政府债名单，基本信息等待同步
2005150.IB,20重庆债01,before_20250808,incomplete,missing_required_static,pending,chongqing,,2020-02-28,,,,,,,已取得地方政府债名单，基本信息等待同步
2005151.IB,20重庆债02,before_20250808,incomplete,missing_required_static,pending,chongqing,,2020-02-28,,,,,,,已取得地方政府债名单，基本信息等待同步
2005152.IB,20重庆债03,before_20250808,incomplete,missing_required_static,pending,chongqing,,2020-02-28,,,,,,,已取得地方政府债名单，基本信息等待同步
2005153.IB,20浙江债08,before_20250808,incomplete,missing_required_static,pending,zhejiang,,2020-02-28,,,,,,,已取得地方政府债名单，基本信息等待同步
2005154.IB,20浙江债09,before_20250808,incomplete,missing_required_static,pending,zhejiang,,2020-02-28,,,,,,,已取得地方政府债名单，基本信息等待同步
2005155.IB,20浙江债10,before_20250808,incomplete,missing_required_static,pending,zhejiang,,2020-02-28,,,,,,,已取得地方政府债名单，基本信息等待同步
2005156.IB,20浙江债11,before_20250808,incomplete,missing_required_static,pending,zhejiang,,2020-02-28,,,,,,,已取得地方政府债名单，基本信息等待同步
2005157.IB,20西藏债01,before_20250808,incomplete,missing_required_static,pending,tibet,,2020-03-19,,,,,,,已取得地方政府债名单，基本信息等待同步
2005158.IB,20西藏债02,before_20250808,incomplete,missing_required_static,pending,tibet,,2020-03-19,,,,,,,已取得地方政府债名单，基本信息等待同步
2005159.IB,20西藏债03,before_20250808,incomplete,missing_required_static,pending,tibet,,2020-03-19,,,,,,,已取得地方政府债名单，基本信息等待同步
2005160.IB,20西藏债04,before_20250808,incomplete,missing_required_static,pending,tibet,,2020-03-19,,,,,,,已取得地方政府债名单，基本信息等待同步
2005161.IB,20江苏债05,before_20250808,incomplete,missing_required_static,pending,jiangsu,,2020-02-28,,,,,,,已取得地方政府债名单，基本信息等待同步
2005162.IB,20上海债01,before_20250808,incomplete,missing_required_static,pending,shanghai,,2020-02-26,,,,,,,已取得地方政府债名单，基本信息等待同步
2005163.IB,20上海债02,before_20250808,incomplete,missing_required_static,pending,shanghai,,2020-02-26,,,,,,,已取得地方政府债名单，基本信息等待同步
2005164.IB,20上海债03,before_20250808,incomplete,missing_required_static,pending,shanghai,,2020-02-26,,,,,,,已取得地方政府债名单，基本信息等待同步
2005165.IB,20上海债04,before_20250808,incomplete,missing_required_static,pending,shanghai,,2020-02-26,,,,,,,已取得地方政府债名单，基本信息等待同步
2005166.IB,20福建债18,before_20250808,incomplete,missing_required_static,pending,fujian,,2020-02-28,,,,,,,已取得地方政府债名单，基本信息等待同步
2005167.IB,20广西债05,before_20250808,incomplete,missing_required_static,pending,guangxi,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005168.IB,20广西债06,before_20250808,incomplete,missing_required_static,pending,guangxi,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005169.IB,20广西债07,before_20250808,incomplete,missing_required_static,pending,guangxi,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005170.IB,20广西债08,before_20250808,incomplete,missing_required_static,pending,guangxi,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005171.IB,20广西债09,before_20250808,incomplete,missing_required_static,pending,guangxi,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005172.IB,20广西债10,before_20250808,incomplete,missing_required_static,pending,guangxi,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005173.IB,20广西债11,before_20250808,incomplete,missing_required_static,pending,guangxi,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005174.IB,20广西债12,before_20250808,incomplete,missing_required_static,pending,guangxi,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005175.IB,20广西债13,before_20250808,incomplete,missing_required_static,pending,guangxi,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005176.IB,20四川债48,before_20250808,incomplete,missing_required_static,pending,sichuan,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005177.IB,20四川债49,before_20250808,incomplete,missing_required_static,pending,sichuan,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005178.IB,20四川债50,before_20250808,incomplete,missing_required_static,pending,sichuan,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005179.IB,20四川债51,before_20250808,incomplete,missing_required_static,pending,sichuan,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005180.IB,20四川债52,before_20250808,incomplete,missing_required_static,pending,sichuan,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005181.IB,20四川债53,before_20250808,incomplete,missing_required_static,pending,sichuan,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005182.IB,20四川债54,before_20250808,incomplete,missing_required_static,pending,sichuan,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005183.IB,20四川债55,before_20250808,incomplete,missing_required_static,pending,sichuan,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005184.IB,20四川债56,before_20250808,incomplete,missing_required_static,pending,sichuan,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005185.IB,20四川债57,before_20250808,incomplete,missing_required_static,pending,sichuan,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005186.IB,20四川债58,before_20250808,incomplete,missing_required_static,pending,sichuan,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005187.IB,20四川债59,before_20250808,incomplete,missing_required_static,pending,sichuan,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005188.IB,20四川债60,before_20250808,incomplete,missing_required_static,pending,sichuan,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005189.IB,20四川债61,before_20250808,incomplete,missing_required_static,pending,sichuan,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005190.IB,20四川债62,before_20250808,incomplete,missing_required_static,pending,sichuan,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005191.IB,20四川债63,before_20250808,incomplete,missing_required_static,pending,sichuan,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005192.IB,20四川债64,before_20250808,incomplete,missing_required_static,pending,sichuan,,2020-02-27,,,,,,,已取得地方政府债名单，基本信息等待同步
2005193.IB,20黑龙江债05,before_20250808,incomplete,missing_required_static,pending,heilongjiang,,2020-03-03,,,,,,,已取得地方政府债名单，基本信息等待同步
2005194.IB,20河北债08,before_20250808,incomplete,missing_required_static,pending,hebei,,2020-03-03,,,,,,,已取得地方政府债名单，基本信息等待同步
2005195.IB,20河北债09,before_20250808,incomplete,missing_required_static,pending,hebei,,2020-03-03,,,,,,,已取得地方政府债名单，基本信息等待同步
2005196.IB,20河北债10,before_20250808,incomplete,missing_required_static,pending,hebei,,2020-03-03,,,,,,,已取得地方政府债名单，基本信息等待同步
2005197.IB,20河北债11,before_20250808,incomplete,missing_required_static,pending,hebei,,2020-03-03,,,,,,,已取得地方政府债名单，基本信息等待同步
2005198.IB,20河北债12,before_20250808,incomplete,missing_required_static,pending,hebei,,2020-03-03,,,,,,,已取得地方政府债名单，基本信息等待同步
