债券简称,成交净价,最新收益率,涨跌,加权收益率,交易量
26兴业银行CD162,99.64,1.4501,,1.4386,3.0
25农业银行CD389,98.41,1.4424,-0.01,1.4424,3.0
26广发银行CD049,98.52,1.4649,-95.01,1.781,3.0
26济南城建SCP003,99.98,1.52,1.0,1.52,3.0
26中国银行CD030,98.54,1.4775,1.0,1.4762,3.0
26建设银行CD227,99.27,1.46,0.5,1.46,3.0
26中信银行CD167,99.28,1.4399,0.51,1.4399,3.0
26保利置业MTN001,101.21,2.15,,2.15,3.0
25秦农农商银行二级资本债01,101.01,2.377,1.42,2.3777,3.0
26中国建设MTN001,99.91,1.8689,-4.11,1.8696,3.0
25上海农商银行CD093,98.76,1.3898,1.46,1.3898,3.0
26河南债59,99.94,1.7665,-0.45,1.7663,3.0
26北京银行CD103,99.27,1.4651,-0.49,1.4651,3.0
26兴业银行CD039,98.51,1.4625,-0.15,1.4625,3.0
25光大银行CD222,98.37,1.4373,0.26,1.4382,3.0
26江苏银行CD143,98.53,1.4925,1.0,1.4925,3.0
26兴业银行CD071,98.55,1.4801,1.0,1.4801,3.0
26民生银行二级资本债01,101.18,1.9936,-0.25,1.9946,3.0
26重庆三峡银行CD049,98.88,1.5199,,1.5199,3.0
26江西银行CD027,99.27,1.4399,-0.03,1.4399,3.0
26建设银行CD161,99.28,1.4399,0.5,1.4399,3.0
26安徽76,101.12,2.0425,-0.55,2.0447,3.0
26桂林银行CD137,98.88,1.5199,,1.5199,3.0
26工商银行CD106,98.54,1.478,0.05,1.478,3.0
26交通银行CD106,98.92,1.4651,0.11,1.4647,3.0
26广发银行CD047,98.89,1.4399,0.48,1.4366,3.0
26民生银行CD124,98.53,1.485,,1.4861,3.0
26北京银行CD055,99.28,1.4473,1.0,1.4473,3.0
26河南资本MTN001(科创债),99.57,1.75,15.0,1.7367,3.0
26长沙银行CD144,99.88,1.3884,-0.1,1.3884,3.0
26兴业银行CD118,99.28,1.4402,0.53,1.4402,3.0
26内蒙古债02,103.71,2.2536,-1.04,2.2536,3.0
25山东债73,101.23,1.651,0.2,1.6505,3.0
24华夏银行债01,100.49,1.4501,1.0,1.4501,3.0
25杭州银行CD236,98.76,1.3898,2.12,1.3898,3.0
26鲁信MTN004,100.0,1.8889,1.89,1.8811,3.0
24国开16,101.53,1.755,0.89,1.7567,3.0
25交行TLAC非资本债02B(BC),100.16,1.6009,-0.32,1.6009,3.0
26浙江民泰商行CD037,98.46,1.5707,0.23,1.5691,3.0
26长沙银行CD058,99.28,1.4456,0.59,1.4456,3.0
26天津银行CD136,99.64,1.4497,2.0,1.4497,3.0
26广发银行CD074,98.89,1.4938,1.89,1.4774,3.0
26广发银行CD065,98.55,1.4737,-1.22,1.4863,3.0
22中行二级资本债02A,101.66,2.7205,0.2,2.7201,2.9
25诚通控股MTN001(稳增长扩投资专项债),100.35,2.045,1.0,2.0472,2.9
26深燃气SCP002,99.92,1.5099,-0.01,1.5099,2.9
26江苏37,99.57,1.4908,-0.02,1.4907,2.8
26电网MTN010,100.19,2.0375,0.84,2.0373,2.8
22附息国债27,104.97,1.2213,0.38,1.2213,2.8
26陕西债43,100.16,2.24,1.0,2.2433,2.8
21兴业银行二级02,100.43,3.5262,0.13,3.5262,2.8
26河南债12,104.32,2.2775,0.62,2.2777,2.8
26贵州债13,102.8,2.28,0.6,2.2825,2.8
26金茂投资MTN002,99.59,2.2889,0.19,2.2895,2.8
24福建债06,108.3,2.09,2.0,2.089,2.8
26华银电力MTN004,99.89,1.66,-2.0,1.6611,2.8
25国科产投PPN001(可持续挂钩),100.43,1.6162,-1.91,1.6193,2.8
23中行二级资本债04B,109.8,2.4332,0.69,2.4331,2.8
26江西交投SCP009,99.94,1.53,-0.01,1.53,2.8
25附息国债22,101.0,1.662,0.35,1.6594,2.74
21中国银行二级03,100.37,3.5179,0.16,3.5181,2.7
22国开15,107.54,1.598,0.55,1.5917,2.7
26国能资本SCP002,99.99,1.5004,0.04,1.5004,2.7
25曲文控MTN001,104.23,2.75,,2.7492,2.7
23光大银行债02,100.03,1.6991,4.25,1.697,2.7
26上海机场SCP010,99.98,1.4801,-1.0,1.4801,2.7
20中国信达债01BC,107.22,1.74,-2.0,1.7396,2.7
26河北高速MTN005,99.94,1.67,1.0,1.67,2.7
26附息国债03,100.59,1.3999,0.99,1.3993,2.65
25平安银行永续债01BC,101.79,,,,2.6
24农行二级资本债02B,103.94,2.1303,0.07,2.1307,2.6
25农发15,100.3,1.505,-0.25,1.5058,2.6
26江苏16,102.76,2.235,1.0,2.2349,2.6
26中建MTN003,99.97,,,,2.6
26宏河控股PPN001(并购),100.0,2.95,,2.95,2.6
26鄂联投MTN001,100.0,1.8,,1.8,2.6
26电网MTN024,99.6,2.035,0.5,2.0347,2.6
21兴业银行二级01,100.27,3.7687,0.11,3.7692,2.6
26恒丰银行绿债01B,100.0,1.6,1.0,1.6,2.6
26鑫泰PPN004,100.0,1.9182,-0.15,1.9039,2.6
26进出03,100.16,1.475,0.25,1.475,2.6
23安徽债81,105.07,1.375,-0.33,1.375,2.6
23附息国债19,104.99,1.315,1.0,1.3156,2.577
25中铁置业MTN001,100.16,1.71,,1.71,2.55
23重庆债59,103.22,1.2802,3.08,1.2802,2.5
22国开20,106.67,1.615,1.0,1.6148,2.5
24中信银行债01,100.51,1.471,1.0,1.4707,2.5
26中国银行CD053,98.53,1.485,0.11,1.4851,2.5
22兴业银行二级01,100.64,3.3144,0.37,3.3122,2.5
18湖南债21,126.84,1.735,,1.737,2.5
26黑龙江05,104.38,2.285,1.0,2.2842,2.5
26山东债92,100.1,2.0525,1.0,2.0517,2.5
26安徽债62,102.07,2.24,-0.02,2.239,2.5
26工行二级资本债02BC,100.34,1.8607,-0.03,1.861,2.5
22工行二级资本债03A,101.41,2.7597,1.0,2.7597,2.5
22光大银行二级资本债01A,101.51,2.8206,0.01,2.821,2.5
26江苏银行CD064,98.53,1.485,1.01,1.4867,2.5
22云南债28,104.52,1.316,-0.11,1.316,2.5
24交行TLAC非资本债01(BC),100.71,1.7783,0.22,1.7776,2.4
25农行TLAC非资本债02C(BC),101.49,1.982,-0.07,1.9824,2.4
24农发15,101.22,1.4575,1.0,1.4584,2.4
24工行二级资本债01A(BC),101.73,2.0122,-0.05,2.0119,2.4
24上海银行债01,100.5,1.47,1.0,1.4705,2.4
23兰山城投债01,80.1,1.95,-32.93,1.95,2.4
23国开05,108.51,1.625,0.25,1.625,2.4
23邮储永续债01,103.75,,,,2.4
22工商银行二级01,100.63,3.1484,0.13,3.1487,2.4
26广州银行CD100,99.64,1.3891,-1.16,1.3849,2.4
26台州金融SCP001,99.9,1.5551,15.55,1.5569,2.4
25中财再保险资本补充债01,101.31,2.553,,2.5532,2.4
26京能洁能SCP004,99.94,1.4999,-0.01,1.4999,2.4
25农发13,100.26,1.4225,0.25,1.4227,2.4
24中行二级资本债01B,106.4,2.2519,-0.14,2.2523,2.4
26鲲鹏投资SCP003(并购),99.96,1.5051,-1.49,1.5051,2.4
24江苏债37,103.89,1.6025,-0.09,1.6016,2.4
26重庆债20,101.96,1.7666,-0.16,1.7667,2.4
24进出03,100.4,1.3101,-0.24,1.3132,2.39
22附息国债16,101.23,1.0568,-0.32,1.0567,2.3
23建行二级资本债02A,103.89,2.8387,0.23,2.8391,2.3
26广东债37,101.43,2.24,1.5,2.2354,2.3
24建行二级资本债01B,106.18,2.2425,0.01,2.2423,2.3
22国新控股MTN005(能源保供特别债),101.49,1.52,-2.0,1.5243,2.3
26三峡文旅SCP003,100.0,1.6499,,1.6499,2.3
26诚通控股MTN003A(科创债),100.18,2.07,-0.25,2.07,2.3
25汇金MTN008,100.28,1.54,1.0,1.54,2.3
22附息国债06,104.07,1.1575,-0.05,1.1575,2.3
20进出07,100.87,1.286,0.1,1.286,2.3
23国开清发20,114.31,2.0195,0.23,2.0234,2.29
22农发02,100.63,1.2849,0.49,1.2826,2.2
25农业银行科创债,100.25,1.493,1.34,1.4858,2.2
24交行二级资本债02A,101.5,1.972,0.19,1.9707,2.2
23农发03,102.17,1.4125,-0.45,1.4118,2.2
24浦发银行债01,100.42,1.44,-0.25,1.4399,2.2
23洛阳国晟债01,100.53,1.8177,,1.819,2.2
25附息国债09,100.54,1.5825,0.25,1.5809,2.2
24邮储永续债01,102.7,,,,2.2
26湖北债58,101.47,2.2255,0.55,2.2243,2.2
26沈阳地铁MTN004,100.0,,,,2.16
26平湖国发MTN002,100.0,1.8499,0.51,1.848,2.14
26广州地铁SCP006,99.91,1.5199,,1.5199,2.1
26浙江53,101.27,2.2402,1.27,2.2374,2.1
26邮储银行二级资本债01BC,100.43,1.8715,0.13,1.8716,2.1
26厦国贸SCP014,100.01,1.5301,1.0,1.5296,2.1
22广东债28,117.69,1.963,0.48,1.9629,2.1
23建行永续债01,103.13,,,,2.1
26贴现国开09,99.28,1.0003,-9.92,0.9856,2.1
26中银投资MTN001A(BC),100.25,1.68,1.0,1.68,2.1
26华能新能SCP010,99.99,1.4802,0.53,1.4802,2.1
26华能SCP010,99.98,1.4748,1.97,1.4748,2.1
26吉林高速MTN005,100.08,1.742,,1.742,2.0
26福建债09,100.31,1.49,-0.25,1.49,2.0
24河北债54,104.48,1.5909,,1.592,2.0
26贴现国债55,99.4,1.2175,1.0,1.2175,2.0
25汇金MTN003,100.62,1.675,-0.5,1.675,2.0
26辽宁债27,100.45,1.77,,1.77,2.0
26农业银行CD104,99.29,1.445,0.24,1.445,2.0
26晋能煤业MTN016,99.91,2.0,1.0,2.0,2.0
26大唐集SCP005,100.0,1.4414,2.22,1.4559,2.0
24农发清发09,100.39,1.305,,1.305,2.0
26进出04,99.92,1.395,0.5,1.3946,2.0
21北京银行永续债01,100.3,,,,2.0
26知识城SCP002,99.98,1.52,0.51,1.52,2.0
24南京银行二级资本债02,101.67,2.0205,-0.05,2.0209,2.0
26安徽债14,103.41,2.28,0.9,2.28,2.0
25农业银行CD314,98.35,1.3897,2.0,1.3897,2.0
26电投水电CP001(并购),99.9,1.55,-1.0,1.55,2.0
26光大银行CD006,98.45,1.4499,-0.02,1.4499,2.0
22浙江债64,108.83,1.4933,2.83,1.4933,2.0
26中国银行CD033,98.54,1.4744,-0.06,1.476,2.0
26中国银行CD016,98.92,1.4639,0.63,1.4639,2.0
26江苏江南农村商业银行CD045,98.51,1.5075,0.76,1.5063,2.0
25云南交投MTN009,100.85,1.7578,-3.22,1.7578,2.0
26兴业银行二级资本债02,100.19,1.8584,-0.12,1.8596,2.0
26广东华润银行CD057,98.52,1.5,-0.01,1.5,2.0
26乐山商行CD059,98.83,1.58,,1.58,2.0
24汇金MTN008,100.64,1.53,0.5,1.53,2.0
26民生银行CD029,98.47,1.4675,0.75,1.4675,2.0
26中信银行CD256,99.64,1.4399,,1.4399,2.0
26工商银行CD065,98.55,1.4775,0.71,1.4775,2.0
25河南债78,102.51,1.7508,-0.09,1.7508,2.0
26农业银行CD180,98.53,1.4849,-0.26,1.4849,2.0
26北京银行CD007,98.8,1.44,-0.48,1.44,2.0
26富滇银行CD190,99.63,1.4802,1.0,1.4802,2.0
26农业银行CD184,98.9,1.485,0.75,1.485,2.0
26江苏银行CD017,98.8,1.4422,0.72,1.4422,2.0
25中航集MTN001,100.68,1.615,-0.75,1.615,2.0
26建设银行CD026,98.84,1.4401,0.4,1.4401,2.0
26浦发银行CD076,98.51,1.4625,1.0,1.4625,2.0
26光大银行CD039,98.52,1.4651,0.25,1.4651,2.0
26奔驰财务MTN001A(BC),100.0,1.749,-2.38,1.749,2.0
26恒丰银行CD248,99.64,1.4499,1.99,1.4499,2.0
26天山材料MTN003(科创债),100.32,1.82,1.0,1.82,2.0
25徽商银行01,100.45,1.5125,1.0,1.5125,2.0
26中行二级资本债02BC,100.46,1.8774,-0.02,1.8772,2.0
26内蒙古债03,104.7,2.28,0.25,2.28,2.0
26农业银行CD048,99.27,1.37,1.04,1.37,2.0
26交通银行CD071,98.89,1.4401,1.01,1.4401,2.0
26中建八局SCP018,100.0,1.4903,1.0,1.4903,2.0
26天津银行CD046,99.24,1.4003,1.04,1.4003,2.0
23广东债32,113.82,2.0203,1.23,2.0203,2.0
24特别国债02,106.93,2.0225,0.1,2.0223,2.0
26京基投SCP002,99.98,1.4801,,1.4801,2.0
26北京农商银行CD035,98.54,1.4851,,1.4851,2.0
26建设银行CD266,99.27,1.4599,1.0,1.4599,2.0
26中国银行CD063,98.54,1.484,-0.1,1.484,2.0
25农发10,99.4,1.738,0.1,1.7365,2.0
26东莞银行CD054,99.27,1.4451,0.97,1.4475,2.0
26宁波银行CD119,99.28,1.4447,0.96,1.4475,2.0
26江苏银行CD014,98.79,1.445,0.53,1.4474,2.0
26渤海银行CD300,99.26,1.4726,-0.23,1.4703,2.0
26华夏银行CD149,99.64,1.3828,0.45,1.3828,2.0
26重庆农村商行CD025,99.28,1.4448,-0.01,1.4448,2.0
25如皋经贸MTN005,100.54,1.6611,-1.58,1.6743,2.0
26浦发银行CD061,98.49,1.4619,0.29,1.4619,2.0
26南京银行CD014,98.8,1.4403,0.06,1.4403,2.0
25中信银行CD302,98.35,1.3909,3.06,1.3909,2.0
26光大银行CD062,98.54,1.485,0.1,1.485,2.0
26民生银行CD047,98.48,1.4718,0.18,1.4718,2.0
26邮储银行CD045,99.64,1.435,0.48,1.435,2.0
25海尔智家MTN001(绿色两新),100.63,1.55,1.0,1.55,2.0
26农行二级资本债01A(BC),100.66,1.894,-0.13,1.8943,2.0
26鄞州银行CD027,99.26,1.5,-1.99,1.5,2.0
26徽商银行CD155,99.27,1.4651,-0.49,1.4651,2.0
21湖南债100,117.08,1.68,,1.678,2.0
26华友钴业SCP010,99.98,1.7734,0.34,1.7734,2.0
26交通银行CD117,98.91,1.4601,1.0,1.4601,2.0
26东莞银行CD008,98.42,1.4675,,1.4675,2.0
26农业银行CD030,98.5,1.4701,0.51,1.4701,2.0
26浦发银行CD085,98.53,1.4625,-0.25,1.4625,2.0
26中信银行CD132,98.91,1.4625,1.0,1.4613,2.0
26天津银行CD107,99.63,1.3967,2.54,1.3967,2.0
26天津银行CD135,99.64,1.4497,,1.4497,2.0
25江苏银行CD201,98.77,1.3785,0.74,1.3785,2.0
26平阳农商银行CD009,99.23,1.5699,,1.5699,2.0
26建设银行CD191,98.54,1.485,0.41,1.485,2.0
25交通银行CD246,98.42,1.4398,1.0,1.4398,2.0
26北京农商银行CD001,99.24,1.3675,0.69,1.3675,2.0
26东莞农村商业银行CD023,99.27,1.4403,0.03,1.4403,2.0
23浙江债20,108.86,1.5036,,1.5036,2.0
26南京银行CD170,98.53,1.4851,0.51,1.4851,2.0
26华夏银行CD050,98.5,1.4599,-0.02,1.4599,2.0
26农业银行CD133,98.54,1.485,0.5,1.485,2.0
25晋能电力MTN016,100.76,1.7065,0.65,1.7065,2.0
26华夏银行CD244,98.54,1.485,-0.25,1.485,2.0
25西安银行CD059,98.34,1.46,,1.46,2.0
26厦门国际银行CD082,98.89,1.495,0.01,1.495,2.0
25湖南债30,100.98,1.407,-0.3,1.4084,2.0
26华夏银行CD246,98.54,1.486,1.0,1.486,2.0
26建设银行CD275,98.54,1.485,1.0,1.485,2.0
26建设银行CD151,98.91,1.4625,1.0,1.4625,2.0
26江苏银行CD100,98.92,1.4674,-0.51,1.4674,2.0
23广东债14,108.99,1.5025,2.03,1.5025,2.0
26重庆农村商行CD080,98.54,1.485,1.0,1.485,2.0
25光大银行CD264,98.42,1.4379,0.22,1.4379,2.0
26光大银行CD007,98.47,1.4598,0.49,1.4598,2.0
26民生银行CD030,98.46,1.4714,0.4,1.4714,2.0
26交通银行CD083,98.55,1.4726,-0.24,1.4726,2.0
25交通银行CD256,98.42,1.44,1.0,1.44,2.0
26中交二航SCP004,99.97,1.51,0.01,1.51,2.0
25农业银行CD442,98.42,1.4401,-0.23,1.4401,2.0
26深圳地铁SCP004,100.03,1.4188,-1.11,1.4173,2.0
26民生银行CD108,99.29,1.4449,0.48,1.4449,2.0
26兴业银行CD125,99.64,1.4349,-0.27,1.436,2.0
25北京银行CD165,98.36,1.4423,-0.29,1.4423,2.0
26建设银行CD260,98.91,1.4774,-0.01,1.4774,2.0
26宁波银行CD100,99.28,1.4393,1.65,1.4393,2.0
26南京银行CD215,99.64,1.4453,,1.4453,2.0
26中信银行CD233,99.64,1.4402,0.5,1.4402,2.0
26光大银行CD047,98.55,1.48,0.01,1.48,2.0
26中信银行CD262,98.91,1.4699,,1.4699,2.0
26建设银行CD268,99.27,1.46,1.0,1.46,2.0
26华夏银行CD122,98.55,1.4775,0.24,1.4775,2.0
26重庆银行CD051,98.52,1.4999,,1.4999,2.0
26浙商银行CD018,98.82,1.4399,0.49,1.4399,2.0
26汉口银行CD074,98.51,1.514,1.0,1.5156,2.0
26民生银行CD118,98.53,1.485,0.5,1.485,2.0
25四川债33,100.98,1.49,0.25,1.4888,2.0
26交通银行CD113,98.92,1.4601,1.0,1.4601,2.0
26宁波银行CD244,99.27,1.465,,1.465,2.0
26中色MTN003,100.03,1.67,-1.0,1.67,2.0
25浦发银行CD258,98.38,1.4454,1.08,1.4454,2.0
26萧山农商银行CD038,99.64,1.4499,,1.4499,2.0
21广东债54,108.95,1.3636,0.25,1.3649,2.0
26东莞银行CD065,98.54,1.485,,1.485,2.0
26华夏银行CD227,98.9,1.48,0.49,1.48,2.0
26农业银行CD144,98.9,1.47,1.43,1.47,2.0
26天津港MTN004,100.0,1.76,1.0,1.765,2.0
25中国银行CD064,98.36,1.3807,0.47,1.3807,2.0
26广东债30,100.33,1.753,1.0,1.753,2.0
26平安银行CD010,98.51,1.4625,0.25,1.4625,2.0
26重庆农村商行CD073,98.54,1.4851,0.01,1.4851,2.0
26重庆农村商行CD066,98.54,1.485,0.01,1.485,2.0
26重庆银行CD008,98.51,1.4699,,1.4699,2.0
22附息国债03,107.13,1.3825,1.0,1.3825,2.0
26工商银行CD146,98.54,1.484,1.0,1.484,2.0
26光大银行CD055,98.55,1.4775,0.75,1.4775,2.0
26浙商银行CD019,98.45,1.465,0.49,1.465,2.0
26交通银行CD151,98.54,1.4851,1.0,1.4851,2.0
18附息国债11,104.81,0.79,1.0,0.795,2.0
26湖南银行CD043,99.28,1.4503,0.53,1.4503,2.0
26贵阳银行CD035,99.28,1.4503,,1.4503,2.0
26渤海银行CD153,99.28,1.4503,,1.4503,2.0
26中国银行CD039,99.27,1.455,0.49,1.455,2.0
22邮储银行二级01,100.98,3.3393,0.05,3.3393,2.0
26建行TLAC非资本债01A(BC),100.05,1.6751,-0.19,1.6751,2.0
26农业银行CD192,98.53,1.4915,1.0,1.4915,2.0
26邮政SCP004,99.95,1.49,0.99,1.49,2.0
26广州银行CD137,98.9,1.4851,0.1,1.4851,2.0
26工商银行CD042,98.54,1.4774,-0.02,1.4774,2.0
18农发06,105.27,1.418,-0.45,1.418,2.0
26浦发银行CD069,98.51,1.46,-0.25,1.46,2.0
26农业银行CD157,98.53,1.4825,1.0,1.4825,2.0
26兴业银行CD154,99.64,1.4399,0.22,1.4399,2.0
25平安银行CD127,98.37,1.4398,0.46,1.4398,2.0
21广东债72,116.07,1.65,-0.25,1.65,2.0
26农业银行CD081,99.29,1.4422,0.01,1.4422,2.0
24汇金MTN004,100.45,1.4999,-0.01,1.4999,2.0
25平安银行CD142,98.42,1.44,-0.48,1.44,2.0
26恒丰银行CD124,99.29,1.4454,,1.4454,2.0
26农业银行CD044,98.02,2.4393,-0.2,2.4393,2.0
26兴业银行CD099,98.93,1.4599,0.49,1.4599,2.0
26建设银行CD064,98.9,1.4501,1.0,1.4501,2.0
26兴业银行CD103,98.93,1.4576,1.0,1.4576,2.0
23附息国债09,120.85,2.1555,0.85,2.1469,1.901
23工行二级资本债02A,102.9,2.6096,1.0,2.6097,1.9
24农行二级资本债02A,101.79,2.063,-0.04,2.0631,1.9
25农行二级资本债01B(BC),100.92,2.0223,0.1,2.0227,1.9
20中国信达债02BC(品种二),107.27,1.75,1.0,1.7474,1.9
26首开MTN006,99.85,2.7927,-3.05,2.7917,1.9
26鲁能源MTN001(科创债),99.94,1.673,-1.2,1.6745,1.9
24附息国债19,100.01,0.8608,-9.86,0.8705,1.9
26青岛农商行小微债01,99.95,1.5975,-0.25,1.5993,1.9
26中行TLAC非资本债01BC,100.13,1.6814,0.18,1.6815,1.9
26华电新能SCP001,99.93,1.53,-0.99,1.53,1.9
26沪港务MTN005,100.32,2.0425,-1.75,2.0433,1.9
25农行二级资本债03A(BC),101.58,1.9872,0.01,1.9891,1.9
20福建债19,105.71,1.3475,1.0,1.3475,1.9
26河北债21,102.03,1.768,0.3,1.768,1.9
22附息国债22,101.47,1.0699,0.49,1.0696,1.842
25重庆02,101.1,1.8668,-0.26,1.8682,1.8
25云南债47,100.75,1.771,-0.9,1.771,1.8
24内蒙古02,104.75,1.44,2.0,1.44,1.8
24农行二级资本债01A,102.71,2.3557,0.1,2.3546,1.8
23建行二级资本债01A,102.95,2.9846,0.2,2.9841,1.8
26国网租赁SCP003,100.0,1.4464,-2.17,1.4573,1.8
26陕投集团MTN001,99.96,1.685,-0.87,1.6849,1.8
25中信证券科创债01,100.54,1.7099,1.0,1.7088,1.8
26工行二级资本债01BC,100.8,1.9071,0.03,1.907,1.8
23农行二级资本债01A,102.91,2.9894,0.27,2.9881,1.8
19农业银行二级03,107.54,3.478,0.28,3.4766,1.8
22国开04,103.69,1.455,1.0,1.4548,1.8
26国能租赁SCP002,99.97,1.4999,-0.52,1.4999,1.8
23浙商银行小微债02,100.2,1.4501,5.02,1.4344,1.8
23附息国债08,102.31,1.135,1.0,1.135,1.8
24国开清发03,100.44,1.335,-0.1,1.3353,1.8
25湖北11,100.21,1.8425,-0.45,1.8444,1.8
24农行二级资本债01B,106.03,2.2373,0.18,2.2365,1.8
26北京银行CD044,99.26,1.3803,1.1,1.3803,1.8
26临沂城投MTN001,101.29,1.91,-3.0,1.91,1.8
26鄂能源SCP008,99.98,1.5099,0.98,1.5099,1.8
26金圆投资MTN002,99.91,2.31,-2.0,2.3099,1.8
22国新控股MTN003(能源保供特别债),101.31,1.52,-2.0,1.52,1.8
26贴现国债50,99.71,1.1851,1.01,1.1851,1.8
24渤海银行二级资本债01,102.7,2.3762,-2.19,2.3762,1.79
25附息国债06,100.2,1.1749,0.98,1.1749,1.7815
24中信银行永续债01,101.96,,,,1.72
24四川债58,103.6,1.6199,0.37,1.619,1.7
24江苏债38,104.62,1.8252,-0.02,1.8192,1.7
26人民人寿永续债01,99.98,,,,1.7
25国泰海通科创债02,100.64,1.69,1.0,1.69,1.7
22交行二级资本债02A,101.76,2.7159,0.11,2.7157,1.7
25陕西债44,101.84,2.24,2.03,2.2319,1.7
26和盛ABN001优先A2,100.04,,,,1.7
22建设银行二级01,101.46,3.1666,-0.03,3.1666,1.7
25农行永续债02BC,101.87,,,,1.7
25上海债41,101.24,1.74,0.4,1.7394,1.7
26浦发银行小微债01,99.99,1.5625,1.0,1.5625,1.7
25上海银行债01,100.69,1.51,1.0,1.51,1.7
23附息国债12,107.73,1.455,1.0,1.4589,1.64
26大唐发电MTN006,99.83,1.6,9.0,1.6,1.6
24黑龙江债03,104.18,1.44,5.27,1.44,1.6
26甘肃债12,102.37,1.7682,-0.43,1.7681,1.6
25进出清发007,99.89,1.4414,-0.48,1.4414,1.6
24中行永续债01,101.48,,,,1.6
24开封经开MTN001,102.69,2.1203,-0.17,2.1207,1.6
24华发集团MTN005,100.45,2.7986,-0.54,2.7986,1.6
22农行二级资本债02A,101.55,2.7483,0.07,2.748,1.6
25电网CP003,100.0,1.6293,-0.96,1.6293,1.6
24农发30,102.75,1.72,0.75,1.7191,1.6
24牛首山PPN001,100.57,1.6593,3.01,1.6501,1.6
20江苏债18,107.6,1.32,0.75,1.3225,1.6
21山能重装MTN001,100.22,1.59,-1.79,1.59,1.6
22农业银行二级02,109.83,2.5923,-0.13,2.5924,1.6
26陕能投资SCP001,99.92,1.5301,0.01,1.5301,1.6
26京能洁能SCP002,99.94,1.4999,,1.4999,1.6
24山东债77,105.31,1.8455,1.0,1.8455,1.6
26建行TLAC非资本债02A(BC),100.0,1.68,1.0,1.6802,1.6
26恒力石化CP003,99.89,1.62,1.0,1.62,1.6
22宁波银行二级资本债01,101.52,2.9544,0.18,2.9546,1.6
24江苏债24,104.37,1.5861,1.0,1.5861,1.6
26四川39,100.21,1.766,-0.05,1.7667,1.6
26青岛华通MTN002(并购),100.0,1.67,,1.67,1.6
26广发银行债02,99.99,1.575,1.0,1.575,1.6
26柯桥开发MTN002,100.08,1.71,1.0,1.71,1.6
17附息国债22,137.75,2.065,0.2,2.065,1.6
26核风电GN008,100.0,1.3999,,1.3999,1.6
24工行TLAC非资本债01A,100.5,1.9423,14.43,1.9415,1.6
26鲲鹏投资SCP004(并购),99.95,1.5051,1.0,1.5051,1.6
24云南33,105.01,1.641,0.7,1.6405,1.6
26北控集CP003,99.98,1.39,-13.4,1.3914,1.6
25弘湘国投MTN001,101.44,1.63,-0.79,1.63,1.6
26厦国贸SCP011,100.01,1.5503,1.83,1.5503,1.6
26海南23,100.14,1.608,1.0,1.6095,1.6
25国开清发02,100.08,1.41,0.25,1.41,1.6
26上饶城投PPN001,100.13,1.801,-1.9,1.801,1.6
25农发清发12,100.16,1.3251,0.65,1.3213,1.56
24附息国债17,104.21,1.545,0.78,1.5391,1.525
23附息国债07,131.59,2.185,1.5,2.185,1.503
24河南14,104.43,1.4114,3.22,1.412,1.5
26江苏债35,99.95,1.49,0.25,1.4883,1.5
24工行TLAC非资本债01B,101.92,1.8027,-0.11,1.8027,1.5
24内蒙古债28,103.2,1.6324,,1.6324,1.5
25浙江债02,100.14,1.8377,0.77,1.8377,1.5
26陕有色MTN002,100.0,2.22,-5.0,2.22,1.5
26内蒙古债10,100.82,2.085,2.5,2.085,1.5
25工行二级资本债02BC,100.97,1.8563,0.01,1.8627,1.5
21安徽债51,117.19,1.68,-0.49,1.6787,1.5
26慈湖高新PPN001,100.64,2.1415,-14.38,2.1595,1.5
25农行二级资本债04A(BC),101.41,1.9701,0.2,1.9714,1.5
23建行二级资本债03A,103.66,2.7307,1.0,2.7308,1.5
25沪建工MTN001,101.4,2.035,1.0,2.035,1.5
26云建投MTN007,99.76,2.1575,-34.99,2.1559,1.5
26厦门银行债01,99.96,1.605,-0.1,1.6062,1.5
26甘肃银行二级资本债01,99.5,2.2768,0.69,2.2691,1.5
26临平开投PPN001,101.4,1.86,,1.8567,1.5
18附息国债17,132.75,2.095,0.5,2.094,1.5
24光大银行小微债,100.42,1.46,0.51,1.46,1.5
25中行二级资本债03A(BC),101.73,2.0134,0.05,2.0133,1.5
26广州产投SCP002,100.02,1.4995,1.95,1.4997,1.5
26川高速SCP001,99.98,1.49,1.0,1.49,1.5
21河北债61,109.97,1.5625,1.0,1.5625,1.5
26国开投MTN003,100.71,1.715,-3.0,1.7137,1.5
25中国银行科创债01,100.26,1.49,1.0,1.4906,1.5
23中行二级资本债03B,110.75,2.4903,-0.28,2.4904,1.5
24湖南债59,104.02,1.635,0.4,1.6329,1.5
24中原消费债01,100.72,1.5976,-0.01,1.5811,1.5
24邮政MTN005,100.49,1.52,-0.5,1.52,1.5
22农业银行永续债01,100.88,,,,1.5
26中远海运SCP004,100.0,1.3599,,1.3599,1.5
26杭州银行债02A,99.95,1.5875,0.6,1.5875,1.5
24农行永续债01,102.69,,,,1.5
25新疆债24,98.3,2.14,0.3,2.1388,1.5
25附息国债12,100.15,1.1749,1.0,1.1749,1.5
25福建债28,100.6,1.4072,-0.28,1.4062,1.5
26苏交通CP003,99.94,1.515,1.0,1.515,1.5
16附息国债23,100.27,0.8202,0.03,0.8202,1.5
25信达地产MTN002,100.52,2.7154,0.84,2.7154,1.5
