债券简称,成交净价,最新收益率,涨跌,加权收益率,交易量
23附息国债18,106.85,1.4785,0.75,1.473,12.576
22附息国债07,100.85,0.9976,0.16,0.9977,12.45
24附息国债04,105.89,1.51,0.5,1.5058,12.3
25国开05,98.81,1.725,0.05,1.7245,12.3
22国开10,107.48,1.575,-0.25,1.5767,12.1
26中国银行CD050,99.27,1.4501,-0.24,1.4513,12.0
26四川债64,100.03,2.2788,0.08,2.2785,12.0
26交通银行CD053,98.49,1.4599,1.0,1.4599,12.0
26成都银行CD048,99.24,1.3995,2.93,1.3965,12.0
26宁波银行CD200,99.29,1.4449,-0.59,1.4449,12.0
17国开10,101.51,1.3499,0.5,1.3499,11.9
25附息国债19,100.02,1.1102,-0.01,1.1144,11.6
26山东08,104.47,2.28,1.0,2.2795,11.6
24陕西债20,105.15,1.6111,0.41,1.6106,11.4
25农发20,100.23,1.751,0.2,1.7507,11.3
25国开18,101.0,1.5375,0.25,1.5363,11.1
26贴现国债53,99.4,1.21,-0.63,1.2115,11.1
26农业银行CD197,98.53,1.493,0.1,1.493,11.0
26贵州银行CD077,98.5,1.5199,,1.5199,11.0
26北京银行CD032,98.88,1.4451,1.0,1.4451,11.0
26宁波银行CD242,99.27,1.4649,-0.51,1.4649,11.0
26江苏银行债03BC,100.0,1.58,1.0,1.5875,10.9
26山东02,104.53,2.2775,0.35,2.2796,10.8
25附息国债16,101.53,1.645,0.2,1.6424,10.7
26贴现国债52,99.71,1.175,1.0,1.175,10.7
20国开10,105.73,1.5125,1.0,1.5105,10.6
25附息国债24,100.15,1.24,-0.95,1.2407,10.6
21附息国债05,130.02,2.1425,0.5,2.1409,10.507
26国信证券CP006,100.0,1.4999,,1.4999,10.5
26农业银行CD124,99.28,1.4425,0.01,1.4424,10.4
21附息国债07,103.27,1.0225,1.0,1.0225,10.2
22农发10,107.7,1.63,0.75,1.6281,10.0
26徽商银行CD181,99.28,1.4649,,1.4649,10.0
20附息国债17,102.91,0.87,1.5,0.872,10.0
26中信银行CD223,99.64,1.4397,0.95,1.4398,10.0
26农业银行CD120,99.29,1.4426,-0.23,1.4444,10.0
26宁波银行CD259,98.53,1.4925,0.25,1.4913,10.0
26苏州银行CD026,99.26,1.3891,0.94,1.3891,10.0
25电网MTN037,101.83,1.865,1.0,1.865,10.0
26建设银行CD293,99.28,1.46,0.01,1.46,10.0
26苏州银行CD090,99.88,1.3934,,1.3934,10.0
26建设银行CD150,98.92,1.4625,0.24,1.4625,10.0
26渤海银行CD107,99.28,1.4396,0.47,1.4358,10.0
26南京银行CD165,99.25,1.5499,1.0,1.5499,10.0
26工行二级资本债04BC,100.21,1.8558,0.26,1.8556,9.7
25进出清发02,99.93,1.3424,-0.01,1.3421,9.7
26国开01,100.09,1.315,-0.49,1.3154,9.6
26附息国债11,100.03,1.2484,-0.16,1.25,9.55
23湖南债131,103.24,1.2788,4.38,1.2788,9.5
26中国银行CD049,98.54,1.484,1.0,1.4845,9.5
26南京银行CD173,98.52,1.5,4.0,1.5,9.5
26农发11,100.03,1.333,0.29,1.3309,9.4
26农发清发11,100.01,1.4075,1.0,1.4075,9.3
25进出13,99.93,1.4375,1.0,1.437,9.3
26中行TLAC非资本债02A(BC),100.02,1.6843,-0.14,1.6855,9.2
25湖南债34,101.06,1.408,-0.25,1.409,9.2
26上海银行CD114,98.53,1.495,,1.4905,9.0
26恒丰银行CD183,98.48,1.5501,-4.99,1.5501,9.0
26交通银行CD164,98.91,1.4775,0.26,1.477,9.0
26交通银行CD157,99.27,1.4601,0.22,1.4601,9.0
26宁波银行CD083,99.24,1.3992,1.21,1.3938,9.0
26宁波银行CD084,99.24,1.3886,-0.2,1.3886,9.0
26湖北债73,100.0,2.22,1.0,2.2733,8.9
24建行二级资本债02A,101.57,1.9902,0.14,1.9892,8.8
26工行二级资本债03BC,100.55,1.8874,-0.02,1.8874,8.7
26国开清发05,99.24,1.795,0.25,1.7941,8.6
20农发10,109.01,1.5191,0.16,1.5211,8.5
25平安银行科创债01BC,100.6,1.58,1.0,1.5801,8.4
20附息国债12,131.11,2.145,1.0,2.1413,8.3509
24进出13,100.31,1.351,-0.15,1.3525,8.3
24附息国债23,103.71,1.556,0.35,1.553,8.1
26中行永续债03BC,100.0,1.8575,-2.75,1.8575,8.1
26华能SCP011,99.97,1.4798,14.98,1.4798,8.1
26贴现国债51,99.4,1.21,-1.01,1.2109,8.0
26交通银行CD068,98.88,1.44,-0.02,1.4393,8.0
26建设银行CD264,98.53,1.486,0.21,1.4853,8.0
26交通银行CD114,98.91,1.4625,0.51,1.4637,8.0
26广东债29,100.31,1.601,0.25,1.6034,8.0
26工商银行CD048,98.54,1.4724,-0.26,1.4737,8.0
20浙江债38,107.34,1.38,,1.38,8.0
26中信银行CD166,99.64,1.3894,1.0,1.3894,8.0
26建设银行CD137,98.93,1.4624,1.0,1.4613,8.0
26兴业银行CD114,99.64,1.3828,0.25,1.3815,8.0
26工商银行CD054,98.55,1.4775,-0.1,1.4775,8.0
26江苏银行CD072,98.92,1.465,1.0,1.465,8.0
26广发银行CD094,98.91,1.4774,0.24,1.4773,8.0
22农发07,101.08,1.34,0.25,1.3377,7.9
19附息国债10,131.28,2.125,0.76,2.1177,7.8432
22国开03,100.6,1.2875,0.25,1.2841,7.7
25国开清发04,100.09,1.5825,0.55,1.575,7.7
25超长特别国债04,97.62,2.0735,0.35,2.0686,7.6
24附息国债13,103.43,1.3712,0.27,1.3685,7.55
26山东债86,100.0,1.76,0.1,1.7596,7.5
24安徽债77,102.79,1.6365,1.4,1.6369,7.5
26建行二级资本债02BC,100.21,1.8563,0.34,1.8554,7.5
25农发25,100.64,1.519,-0.1,1.5203,7.5
25超长特别国债03,97.75,2.175,-0.5,2.1778,7.4
26江苏债33,101.51,2.28,0.75,2.2785,7.3
26中行TLAC非资本债02B(BC),100.01,1.7875,0.17,1.7859,7.3
26交行二级资本债02BC,100.26,1.8606,1.0,1.8605,7.3
22附息国债15,134.89,2.19,1.99,2.1897,7.2
26交行TLAC非资本债01BC,100.22,1.6876,1.0,1.6875,7.2
22附息国债08,122.99,2.1475,1.75,2.14,7.111
25附息国债11,100.67,1.5875,0.25,1.5825,7.108
26广东债40,99.92,2.235,1.0,2.2375,7.1
26工商银行CD142,98.53,1.485,0.1,1.4841,7.0
25交通银行CD291,98.8,1.3735,-0.15,1.3735,7.0
26伊利实业SCP014,99.99,1.4606,1.1,1.4618,7.0
26广发银行CD097,98.91,1.4801,,1.4743,7.0
