债券代码,债券简称,发行起始日,发行终止日,计划发行总量,实际发行总量,发行价格,单位面值,缴款日,增发次数,交易市场,发行方式,发行对象,公告日期,债券名称
237003,26吉林11,2026-04-29,2026-04-29,16.0,16.0,100.0,100,2026-04-30,0,上交所,荷兰式招标发行,,2026-04-22,2026年吉林省收费公路专项债券(一期)-2026年吉林省政府专项债券(四期)
2605479,26吉林债11,2026-04-29,2026-04-29,16.0,16.0,100.0,100,2026-04-30,0,银行间债券市场,荷兰式招标发行,,2026-04-22,2026年吉林省收费公路专项债券(一期)-2026年吉林省政府专项债券(四期)
566401,吉林2611,2026-04-29,2026-04-29,16.0,16.0,100.0,100,2026-04-30,0,深交所,荷兰式招标发行,,2026-04-22,2026年吉林省收费公路专项债券(一期)-2026年吉林省政府专项债券(四期)
237006,26吉林14,2026-04-29,2026-04-29,2.04,2.04,100.0,100,2026-04-30,0,上交所,荷兰式招标发行,,2026-04-22,2026年吉林省政府专项债券(七期)
2605482,26吉林债14,2026-04-29,2026-04-29,2.04,2.04,100.0,100,2026-04-30,0,银行间债券市场,荷兰式招标发行,,2026-04-22,2026年吉林省政府专项债券(七期)
566404,吉林2614,2026-04-29,2026-04-29,2.04,2.04,100.0,100,2026-04-30,0,深交所,荷兰式招标发行,,2026-04-22,2026年吉林省政府专项债券(七期)
235963,26陕西20,2026-04-29,2026-04-29,29.9235,29.9235,100.0,100,2026-04-30,0,上交所,荷兰式招标发行,,2026-04-22,2026年陕西省地方政府再融资专项债券(五期)
235963,26陕西20,2026-04-29,2026-04-29,29.9235,29.9235,100.0,100,2026-04-30,0,银行间债券市场,荷兰式招标发行,,2026-04-22,2026年陕西省地方政府再融资专项债券(五期)
566398,陕西2620,2026-04-29,2026-04-29,29.9235,29.9235,100.0,100,2026-04-30,0,深交所,荷兰式招标发行,,2026-04-22,2026年陕西省地方政府再融资专项债券(五期)
235962,26陕西19,2026-04-29,2026-04-29,2.5,2.5,100.0,100,2026-04-30,0,上交所,荷兰式招标发行,,2026-04-22,2026年陕西省政府专项债券(九期)
235962,26陕西19,2026-04-29,2026-04-29,2.5,2.5,100.0,100,2026-04-30,0,银行间债券市场,荷兰式招标发行,,2026-04-22,2026年陕西省政府专项债券(九期)
566397,陕西2619,2026-04-29,2026-04-29,2.5,2.5,100.0,100,2026-04-30,0,深交所,荷兰式招标发行,,2026-04-22,2026年陕西省政府专项债券(九期)
235960,26陕西17,2026-04-29,2026-04-29,16.3475,16.3475,100.0,100,2026-04-30,0,上交所,荷兰式招标发行,,2026-04-22,2026年陕西省政府专项债券(七期)
235960,26陕西17,2026-04-29,2026-04-29,16.3475,16.3475,100.0,100,2026-04-30,0,银行间债券市场,荷兰式招标发行,,2026-04-22,2026年陕西省政府专项债券(七期)
566395,陕西2617,2026-04-29,2026-04-29,16.3475,16.3475,100.0,100,2026-04-30,0,深交所,荷兰式招标发行,,2026-04-22,2026年陕西省政府专项债券(七期)
235958,26陕西15,2026-04-29,2026-04-29,4.0,4.0,100.0,100,2026-04-30,0,上交所,荷兰式招标发行,,2026-04-22,2026年陕西省政府专项债券(五期)
235958,26陕西15,2026-04-29,2026-04-29,4.0,4.0,100.0,100,2026-04-30,0,银行间债券市场,荷兰式招标发行,,2026-04-22,2026年陕西省政府专项债券(五期)
566393,陕西2615,2026-04-29,2026-04-29,4.0,4.0,100.0,100,2026-04-30,0,深交所,荷兰式招标发行,,2026-04-22,2026年陕西省政府专项债券(五期)
235956,26陕西13,2026-04-29,2026-04-29,12.83,12.83,100.0,100,2026-04-30,0,上交所,荷兰式招标发行,,2026-04-22,2026年陕西省政府一般债券(四期)
235956,26陕西13,2026-04-29,2026-04-29,12.83,12.83,100.0,100,2026-04-30,0,银行间债券市场,荷兰式招标发行,,2026-04-22,2026年陕西省政府一般债券(四期)
566391,陕西2613,2026-04-29,2026-04-29,12.83,12.83,100.0,100,2026-04-30,0,深交所,荷兰式招标发行,,2026-04-22,2026年陕西省政府一般债券(四期)
235957,26陕西14,2026-04-29,2026-04-29,1.4,1.4,100.0,100,2026-04-30,0,上交所,荷兰式招标发行,,2026-04-22,2026年陕西省政府专项债券(四期)
235957,26陕西14,2026-04-29,2026-04-29,1.4,1.4,100.0,100,2026-04-30,0,银行间债券市场,荷兰式招标发行,,2026-04-22,2026年陕西省政府专项债券(四期)
566392,陕西2614,2026-04-29,2026-04-29,1.4,1.4,100.0,100,2026-04-30,0,深交所,荷兰式招标发行,,2026-04-22,2026年陕西省政府专项债券(四期)
235959,26陕西16,2026-04-29,2026-04-29,1.4,1.4,100.0,100,2026-04-30,0,上交所,荷兰式招标发行,,2026-04-22,2026年陕西省政府专项债券(六期)
235959,26陕西16,2026-04-29,2026-04-29,1.4,1.4,100.0,100,2026-04-30,0,银行间债券市场,荷兰式招标发行,,2026-04-22,2026年陕西省政府专项债券(六期)
566394,陕西2616,2026-04-29,2026-04-29,1.4,1.4,100.0,100,2026-04-30,0,深交所,荷兰式招标发行,,2026-04-22,2026年陕西省政府专项债券(六期)
235961,26陕西18,2026-04-29,2026-04-29,6.3,6.3,100.0,100,2026-04-30,0,上交所,荷兰式招标发行,,2026-04-22,2026年陕西省政府专项债券(八期)
235961,26陕西18,2026-04-29,2026-04-29,6.3,6.3,100.0,100,2026-04-30,0,银行间债券市场,荷兰式招标发行,,2026-04-22,2026年陕西省政府专项债券(八期)
566396,陕西2618,2026-04-29,2026-04-29,6.3,6.3,100.0,100,2026-04-30,0,深交所,荷兰式招标发行,,2026-04-22,2026年陕西省政府专项债券(八期)
199614,安徽2634,2026-04-28,2026-04-28,80.9526,80.9526,100.0,100,2026-04-29,0,深交所,荷兰式招标发行,,2026-04-21,2026年安徽省政府一般债券(一期)
199614,26安徽债34,2026-04-28,2026-04-28,80.9526,80.9526,100.0,100,2026-04-29,0,银行间债券市场,荷兰式招标发行,,2026-04-21,2026年安徽省政府一般债券(一期)
236698,26安徽34,2026-04-28,2026-04-28,80.9526,80.9526,100.0,100,2026-04-29,0,上交所,荷兰式招标发行,,2026-04-21,2026年安徽省政府一般债券(一期)
199613,安徽2633,2026-04-28,2026-04-28,19.61,19.61,100.0,100,2026-04-29,0,深交所,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十八期)
199613,26安徽债33,2026-04-28,2026-04-28,19.61,19.61,100.0,100,2026-04-29,0,银行间债券市场,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十八期)
236697,26安徽33,2026-04-28,2026-04-28,19.61,19.61,100.0,100,2026-04-29,0,上交所,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十八期)
199612,安徽2632,2026-04-28,2026-04-28,77.66,77.66,100.0,100,2026-04-29,0,深交所,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十七期)
199612,26安徽债32,2026-04-28,2026-04-28,77.66,77.66,100.0,100,2026-04-29,0,银行间债券市场,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十七期)
236696,26安徽32,2026-04-28,2026-04-28,77.66,77.66,100.0,100,2026-04-29,0,上交所,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十七期)
199611,安徽2631,2026-04-28,2026-04-28,6.2,6.2,100.0,100,2026-04-29,0,深交所,荷兰式招标发行,,2026-04-21,2026年安徽省政府专项债券(二十六期)
